clientTime	Local Time (hrs)	Boat Speed (kn) [H5000 Analog Expansion : 009780#]	Boat Speed (kn) [DST200 : 2006922]	Boat Speed (kn) [ST900 : BETA 6]	Boat Speed (kn) [DST200 : 3441103]	Boat Speed (kn) [H5000 Boat Speed : 009169#]
170207-114820.29		0.00	0.00	0.00	0.00	0.00	
170207-114820.49		0.00	0.00	0.00	0.00	0.00	
170207-114820.69		0.00	0.00	0.00	0.00	0.00	
170207-114820.88		0.00	0.00	0.00	0.00	0.00	
170207-114821.09		0.00	0.00	0.00	0.00	0.00	
170207-114821.28		0.00	0.00	0.00	0.00	0.00	
170207-114821.48		0.00	0.00	0.00	0.00	0.00	
170207-114821.69		0.00	0.00	0.00	0.00	0.00	
170207-114821.88		0.00	0.00	0.00	0.00	0.00	
170207-114822.08		0.00	0.00	0.00	0.00	0.00	
170207-114822.28		0.00	0.00	0.00	0.00	0.00	
170207-114822.48		0.00	0.00	0.00	0.00	0.00	
170207-114822.69		0.00	0.00	0.00	0.00	0.00	
170207-114822.88		0.00	0.00	0.00	0.00	0.00	
170207-114823.08		0.00	0.00	0.00	0.00	0.00	
170207-114823.28		0.00	0.00	0.00	0.00	0.00	
170207-114823.49		0.00	0.00	0.00	0.00	0.00	
170207-114823.69		0.00	0.00	0.00	0.00	0.00	
170207-114823.89		0.00	0.00	0.00	0.00	0.00	
170207-114824.09		0.00	0.00	0.00	0.00	0.00	
170207-114824.28		0.00	0.00	0.00	0.00	0.00	
170207-114824.48		0.00	0.00	0.00	0.00	0.00	
170207-114824.69		0.00	0.00	0.00	0.00	0.00	
170207-114824.88		0.00	0.00	0.00	0.00	0.00	
170207-114825.08		0.00	0.00	0.00	0.00	0.00	
170207-114825.28		0.00	0.00	0.00	0.00	0.00	
170207-114825.49		0.00	0.00	0.00	0.00	0.00	
170207-114825.69		0.00	0.00	0.00	0.00	0.00	
170207-114825.88		0.00	0.00	0.00	0.00	0.00	
170207-114826.08		0.00	0.00	0.00	0.00	0.00	
170207-114826.28		0.00	0.00	0.00	0.00	0.00	
170207-114826.49		0.00	0.00	0.00	0.00	0.00	
170207-114826.69		0.00	0.00	0.00	0.00	0.00	
170207-114826.88		0.00	0.00	0.00	0.00	0.00	
170207-114827.08		0.00	0.00	0.00	0.00	0.00	
170207-114827.28		0.00	0.00	0.00	0.00	0.00	
170207-114827.48		0.00	0.00	0.00	0.00	0.00	
170207-114827.69		0.00	0.00	0.00	0.00	0.00	
170207-114827.89		0.00	0.00	0.00	0.00	0.00	
170207-114828.08		0.00	0.00	0.00	0.00	0.00	
170207-114828.28		0.00	0.00	0.00	0.00	0.00	
170207-114828.48		0.00	0.00	0.00	0.00	0.00	
170207-114828.69		0.00	0.00	0.00	0.00	0.00	
170207-114828.89		0.00	0.00	0.00	0.00	0.00	
170207-114829.08		0.00	0.00	0.00	0.00	0.00	
170207-114829.28		0.00	0.00	0.00	0.00	0.00	
170207-114829.48		0.00	0.00	0.00	0.00	0.00	
170207-114829.69		0.00	0.00	0.00	0.00	0.00	
170207-114829.88		0.00	0.00	0.00	0.00	0.00	
170207-114830.09		0.00	0.00	0.00	0.00	0.00	
170207-114830.28		0.00	0.00	0.00	0.00	0.00	
170207-114830.48		0.00	0.00	0.00	0.00	0.00	
170207-114830.68		0.00	0.00	0.00	0.00	0.00	
170207-114830.88		0.00	0.00	0.00	0.00	0.00	
170207-114831.09		0.00	0.00	0.00	0.00	0.00	
170207-114831.28		0.00	0.00	0.00	0.00	0.00	
170207-114831.48		0.00	0.00	0.00	0.00	0.00	
170207-114831.69		0.00	0.00	0.00	0.00	0.00	
170207-114831.88		0.00	0.00	0.00	0.00	0.00	
170207-114832.08		0.00	0.00	0.00	0.00	0.00	
170207-114832.28		0.00	0.00	0.00	0.00	0.00	
170207-114832.48		0.00	0.00	0.00	0.00	0.00	
170207-114832.69		0.00	0.00	0.00	0.00	0.00	
170207-114832.89		0.00	0.00	0.00	0.00	0.00	
170207-114833.08		0.00	0.00	0.00	0.00	0.00	
170207-114833.28		0.00	0.00	0.00	0.00	0.00	
170207-114833.49		0.00	0.00	0.00	0.00	0.00	
170207-114833.69		0.00	0.00	0.00	0.00	0.00	
170207-114833.88		0.00	0.00	0.00	0.00	0.00	
170207-114834.08		0.00	0.00	0.00	0.00	0.00	
170207-114834.28		0.00	0.00	0.00	0.00	0.00	
170207-114834.48		0.00	0.00	0.00	0.00	0.00	
170207-114834.69		0.00	0.00	0.00	0.00	0.00	
170207-114834.88		0.00	0.00	0.00	0.00	0.00	
170207-114835.08		0.00	0.00	0.00	0.00	0.00	
170207-114835.28		0.00	0.00	0.00	0.00	0.00	
170207-114835.49		0.00	0.00	0.00	0.00	0.00	
170207-114835.68		0.00	0.00	0.00	0.00	0.00	
170207-114835.89		0.00	0.00	0.00	0.00	0.00	
170207-114836.08		0.00	0.00	0.00	0.00	0.00	
170207-114836.28		0.00	0.00	0.00	0.00	0.00	
170207-114836.49		0.00	0.00	0.00	0.00	0.00	
170207-114836.69		0.00	0.00	0.00	0.00	0.00	
170207-114836.88		0.00	0.00	0.00	0.00	0.00	
170207-114837.08		0.00	0.00	0.00	0.00	0.00	
170207-114837.28		0.00	0.00	0.00	0.00	0.00	
170207-114837.48		0.00	0.00	0.00	0.00	0.00	
170207-114837.69		0.00	0.00	0.00	0.00	0.00	
170207-114837.88		0.00	0.00	0.00	0.00	0.00	
170207-114838.09		0.00	0.00	0.00	0.00	0.00	
170207-114838.28		0.00	0.00	0.00	0.00	0.00	
170207-114838.48		0.00	0.00	0.00	0.00	0.00	
170207-114838.69		0.00	0.00	0.00	0.00	0.00	
170207-114838.88		0.00	0.00	0.00	0.00	0.00	
170207-114839.08		0.00	0.00	0.00	0.00	0.00	
170207-114839.28		0.00	0.00	0.00	0.00	0.00	
170207-114839.48		0.00	0.00	0.00	0.00	0.00	
170207-114839.69		0.00	0.00	0.00	0.00	0.00	
170207-114839.89		0.00	0.00	0.00	0.00	0.00	
170207-114840.08		0.00	0.00	0.00	0.00	0.00	
170207-114840.29		0.00	0.00	0.00	0.00	0.00	
170207-114840.49		0.00	0.00	0.00	0.00	0.00	
170207-114840.69		0.00	0.00	0.00	0.00	0.00	
170207-114840.88		0.00	0.00	0.00	0.00	0.00	
170207-114841.08		0.00	0.00	0.00	0.00	0.00	
170207-114841.28		0.00	0.00	0.00	0.00	0.00	
170207-114841.49		0.00	0.00	0.00	0.00	0.00	
170207-114841.69		0.00	0.00	0.00	0.00	0.00	
170207-114841.88		0.00	0.00	0.00	0.00	0.00	
170207-114842.08		0.00	0.00	0.00	0.00	0.00	
170207-114842.28		0.00	0.00	0.00	0.00	0.00	
170207-114842.49		0.00	0.00	0.00	0.00	0.00	
170207-114842.69		0.00	0.00	0.00	0.00	0.00	
170207-114842.88		0.00	0.00	0.00	0.00	0.00	
170207-114843.08		0.00	0.00	0.00	0.00	0.00	
170207-114843.29		0.00	0.00	0.00	0.00	0.00	
170207-114843.48		0.00	0.00	0.00	0.00	0.00	
170207-114843.68		0.00	0.00	0.00	0.00	0.00	
170207-114843.88		0.00	0.00	0.00	0.00	0.00	
170207-114844.09		0.00	0.00	0.00	0.00	0.00	
170207-114844.28		0.00	0.00	0.00	0.00	0.00	
170207-114844.48		0.00	0.00	0.00	0.00	0.00	
170207-114844.68		0.00	0.00	0.00	0.00	0.00	
170207-114844.89		0.00	0.00	0.00	0.00	0.00	
170207-114845.08		0.00	0.00	0.00	0.00	0.00	
170207-114845.28		0.00	0.00	0.00	0.00	0.00	
170207-114845.48		0.00	0.00	0.00	0.00	0.00	
170207-114845.69		0.00	0.00	0.00	0.00	0.00	
170207-114845.88		0.00	0.00	0.00	0.00	0.00	
170207-114846.08		0.00	0.00	0.00	0.00	0.00	
170207-114846.28		0.00	0.00	0.00	0.00	0.00	
170207-114846.49		0.00	0.00	0.00	0.00	0.00	
170207-114846.69		0.00	0.00	0.00	0.00	0.00	
170207-114846.88		0.00	0.00	0.00	0.00	0.00	
170207-114847.08		0.00	0.00	0.00	0.00	0.00	
170207-114847.28		0.00	0.00	0.00	0.00	0.00	
170207-114847.49		0.00	0.00	0.00	0.00	0.00	
170207-114847.69		0.00	0.00	0.00	0.00	0.00	
170207-114847.88		0.00	0.00	0.00	0.00	0.00	
170207-114848.08		0.00	0.00	0.00	0.00	0.00	
170207-114848.28		0.00	0.00	0.00	0.00	0.00	
170207-114848.49		0.00	0.00	0.00	0.00	0.00	
170207-114848.69		0.00	0.00	0.00	0.00	0.00	
170207-114848.88		0.00	0.00	0.00	0.00	0.00	
170207-114849.08		0.00	0.00	0.00	0.00	0.00	
170207-114849.28		0.00	0.00	0.00	0.00	0.00	
170207-114849.49		0.00	0.00	0.00	0.00	0.00	
170207-114849.69		0.00	0.00	0.00	0.00	0.00	
170207-114849.88		0.00	0.00	0.00	0.00	0.00	
170207-114850.08		0.00	0.00	0.00	0.00	0.00	
170207-114850.28		0.00	0.00	0.00	0.00	0.00	
170207-114850.48		0.00	0.00	0.00	0.00	0.00	
170207-114850.69		0.00	0.00	0.00	0.00	0.00	
170207-114850.88		0.00	0.00	0.00	0.00	0.00	
170207-114851.09		0.00	0.00	0.00	0.00	0.00	
170207-114851.28		0.00	0.00	0.00	0.00	0.00	
170207-114851.48		0.00	0.00	0.00	0.00	0.00	
170207-114851.69		0.00	0.00	0.00	0.00	0.00	
170207-114851.88		0.00	0.00	0.00	0.00	0.00	
170207-114852.09		0.00	0.00	0.00	0.00	0.00	
170207-114852.28		0.00	0.00	0.00	0.00	0.00	
170207-114852.49		0.00	0.00	0.00	0.00	0.00	
170207-114852.68		0.00	0.00	0.00	0.00	0.00	
170207-114852.88		0.00	0.00	0.00	0.00	0.00	
170207-114853.08		0.00	0.00	0.00	0.00	0.00	
170207-114853.28		0.00	0.00	0.00	0.00	0.00	
170207-114853.48		0.00	0.00	0.00	0.00	0.00	
170207-114853.68		0.00	0.00	0.00	0.00	0.00	
170207-114853.88		0.00	0.00	0.00	0.00	0.00	
170207-114854.08		0.00	0.00	0.00	0.00	0.00	
170207-114854.29		0.00	0.00	0.00	0.00	0.00	
170207-114854.49		0.00	0.00	0.00	0.00	0.00	
170207-114854.68		0.00	0.00	0.00	0.00	0.00	
170207-114854.88		0.00	0.00	0.00	0.00	0.00	
170207-114855.09		0.00	0.00	0.00	0.00	0.00	
170207-114855.28		0.00	0.00	0.00	0.00	0.00	
170207-114855.49		0.00	0.00	0.00	0.00	0.00	
170207-114855.68		0.00	0.00	0.00	0.00	0.00	
170207-114855.88		0.00	0.00	0.00	0.00	0.00	
170207-114856.08		0.00	0.00	0.00	0.00	0.00	
170207-114856.28		0.00	0.00	0.00	0.00	0.00	
170207-114856.49		0.00	0.00	0.00	0.00	0.00	
170207-114856.69		0.00	0.00	0.00	0.00	0.00	
170207-114856.88		0.00	0.00	0.00	0.00	0.00	
170207-114857.08		0.00	0.00	0.00	0.00	0.00	
170207-114857.28		0.00	0.00	0.00	0.00	0.00	
170207-114857.49		0.00	0.00	0.00	0.00	0.00	
170207-114857.68		0.00	0.00	0.00	0.00	0.00	
170207-114857.88		0.00	0.00	0.00	0.00	0.00	
170207-114858.08		0.00	0.00	0.00	0.00	0.00	
170207-114858.28		0.00	0.00	0.00	0.00	0.00	
170207-114858.48		0.00	0.00	0.00	0.00	0.00	
170207-114858.69		0.00	0.00	0.00	0.00	0.00	
170207-114858.89		0.00	0.00	0.00	0.00	0.00	
170207-114859.09		0.00	0.00	0.00	0.00	0.00	
170207-114859.28		0.00	0.00	0.00	0.00	0.00	
170207-114859.48		0.00	0.00	0.00	0.00	0.00	
170207-114859.68		0.00	0.00	0.00	0.00	0.00	
170207-114859.88		0.00	0.00	0.00	0.00	0.00	
170207-114900.08		0.00	0.00	0.00	0.00	0.00	
170207-114900.28		0.00	0.00	0.00	0.00	0.00	
170207-114900.48		0.00	0.00	0.00	0.00	0.00	
170207-114900.68		0.00	0.00	0.00	0.00	0.00	
170207-114900.88		0.00	0.00	0.00	0.00	0.00	
170207-114901.08		0.00	0.00	0.00	0.00	0.00	
170207-114901.28		0.00	0.00	0.00	0.00	0.00	
170207-114901.48		0.00	0.00	0.00	0.00	0.00	
170207-114901.68		0.00	0.00	0.00	0.00	0.00	
170207-114901.88		0.00	0.00	0.00	0.00	0.00	
170207-114902.08		0.00	0.00	0.00	0.00	0.00	
170207-114902.28		0.00	0.00	0.00	0.00	0.00	
170207-114902.48		0.00	0.00	0.00	0.00	0.00	
170207-114902.69		0.00	0.00	0.00	0.00	0.00	
170207-114902.88		0.00	0.00	0.00	0.00	0.00	
170207-114903.08		0.00	0.00	0.00	0.00	0.00	
170207-114903.28		0.00	0.00	0.00	0.00	0.00	
170207-114903.48		0.00	0.00	0.00	0.00	0.00	
170207-114903.69		0.00	0.00	0.00	0.00	0.00	
170207-114903.89		0.00	0.00	0.00	0.00	0.00	
