clientTime	Local Time (hrs)	Boat Speed (kn) [H5000 Analog Expansion : 009780#]	Boat Speed (kn) [DST200 : 2006922]	Boat Speed (kn) [ST900 : BETA 6]	Boat Speed (kn) [DST200 : 3441103]	Boat Speed (kn) [H5000 Boat Speed : 009169#]
170207-114710.29		0.00	0.00	0.00	0.00	0.00	
170207-114710.49		0.00	0.00	0.00	0.00	0.00	
170207-114710.69		0.00	0.00	0.00	0.00	0.00	
170207-114710.89		0.00	0.00	0.00	0.00	0.00	
170207-114711.09		0.00	0.00	0.00	0.00	0.00	
170207-114711.29		0.00	0.00	0.00	0.00	0.00	
170207-114711.49		0.00	0.00	0.00	0.00	0.00	
170207-114711.69		0.00	0.00	0.00	0.00	0.00	
170207-114711.89		0.00	0.00	0.00	0.00	0.00	
170207-114712.09		0.00	0.00	0.00	0.00	0.00	
170207-114712.29		0.00	0.00	0.00	0.00	0.00	
170207-114712.49		0.00	0.00	0.00	0.00	0.00	
170207-114712.69		0.00	0.00	0.00	0.00	0.00	
170207-114712.89		0.00	0.00	0.00	0.00	0.00	
170207-114713.09		0.00	0.00	0.00	0.00	0.00	
170207-114713.29		0.00	0.00	0.00	0.00	0.00	
170207-114713.49		0.00	0.00	0.00	0.00	0.00	
170207-114713.69		0.00	0.00	0.00	0.00	0.00	
170207-114713.89		0.00	0.00	0.00	0.00	0.00	
170207-114714.09		0.00	0.00	0.00	0.00	0.00	
170207-114714.29		0.00	0.00	0.00	0.00	0.00	
170207-114714.49		0.00	0.00	0.00	0.00	0.00	
170207-114714.69		0.00	0.00	0.00	0.00	0.00	
170207-114714.89		0.00	0.00	0.00	0.00	0.00	
170207-114715.09		0.00	0.00	0.00	0.00	0.00	
170207-114715.29		0.00	0.00	0.00	0.00	0.00	
170207-114715.49		0.00	0.00	0.00	0.00	0.00	
170207-114715.69		0.00	0.00	0.00	0.00	0.00	
170207-114715.89		0.00	0.00	0.00	0.00	0.00	
170207-114716.09		0.00	0.00	0.00	0.00	0.00	
170207-114716.29		0.00	0.00	0.00	0.00	0.00	
170207-114716.49		0.00	0.00	0.00	0.00	0.00	
170207-114716.69		0.00	0.00	0.00	0.00	0.00	
170207-114716.89		0.00	0.00	0.00	0.00	0.00	
170207-114717.09		0.00	0.00	0.00	0.00	0.00	
170207-114717.29		0.00	0.00	0.00	0.00	0.00	
170207-114717.49		0.00	0.00	0.00	0.00	0.00	
170207-114717.69		0.00	0.00	0.00	0.00	0.00	
170207-114717.89		0.00	0.00	0.00	0.00	0.00	
170207-114718.09		0.00	0.00	0.00	0.00	0.00	
170207-114718.29		0.00	0.12	0.00	0.00	0.00	
170207-114718.49		0.00	0.12	0.00	0.00	0.00	
170207-114718.69		0.00	0.12	0.00	0.00	0.00	
170207-114718.89		0.00	0.12	0.00	0.00	0.16	
170207-114719.09		0.08	0.12	0.00	0.00	0.34	
170207-114719.29		0.21	0.58	0.00	0.41	0.53	
170207-114719.49		0.21	0.58	0.00	0.41	0.53	
170207-114719.69		0.35	0.58	0.00	0.41	0.93	
170207-114719.89		0.45	0.58	0.00	0.41	1.37	
170207-114720.09		0.45	0.58	0.00	0.41	1.58	
170207-114720.29		0.56	1.09	0.00	0.99	1.64	
170207-114720.49		0.68	1.09	0.00	0.99	1.67	
170207-114720.69		0.68	1.09	0.00	0.99	1.68	
170207-114720.89		0.76	1.09	0.00	0.99	1.67	
170207-114721.09		0.76	1.09	0.00	0.99	1.64	
170207-114721.29		0.76	1.61	0.00	1.46	1.64	
170207-114721.49		0.84	1.61	0.00	1.46	1.59	
170207-114721.69		0.84	1.61	0.00	1.46	1.48	
170207-114721.89		0.84	1.61	0.00	1.46	1.48	
170207-114722.09		0.84	1.61	0.00	1.46	1.40	
170207-114722.29		0.78	1.94	0.00	1.90	1.32	
170207-114722.49		0.78	1.94	0.00	1.90	1.32	
170207-114722.72		0.78	1.94	0.00	1.90	1.24	
170207-114722.89		0.78	1.94	0.00	1.90	1.24	
170207-114723.09		0.68	1.94	0.00	1.90	1.15	
170207-114723.29		0.68	1.85	0.00	1.85	1.15	
170207-114723.49		0.68	1.85	0.00	1.85	1.05	
170207-114723.69		0.68	1.85	0.00	1.85	0.98	
170207-114723.89		0.68	1.85	0.00	1.85	0.98	
170207-114724.09		0.68	1.85	0.00	1.85	0.91	
170207-114724.29		0.68	1.69	0.00	1.59	0.91	
170207-114724.49		0.68	1.69	0.00	1.59	0.91	
170207-114724.69		0.68	1.69	0.00	1.59	0.82	
170207-114724.89		0.68	1.69	0.00	1.59	0.82	
170207-114725.09		0.00	1.69	0.00	1.59	0.75	
170207-114725.29		0.00	1.48	0.00	1.40	0.75	
170207-114725.49		0.00	1.48	0.00	1.40	0.75	
170207-114725.69		0.00	1.48	0.00	1.40	0.69	
170207-114725.89		0.00	1.48	0.00	1.40	0.69	
170207-114726.09		0.00	1.48	0.00	1.40	0.69	
170207-114726.29		0.00	1.30	0.00	1.21	0.64	
170207-114726.49		0.00	1.30	0.00	1.21	0.64	
170207-114726.69		0.00	1.30	0.00	1.21	0.64	
170207-114726.89		0.00	1.30	0.00	1.21	0.59	
170207-114727.09		0.00	1.30	0.00	1.21	0.59	
170207-114727.29		0.00	1.17	0.00	1.11	0.59	
170207-114727.49		0.00	1.17	0.00	1.11	0.56	
170207-114727.69		0.00	1.17	0.00	1.11	0.56	
170207-114727.89		0.00	1.17	0.00	1.11	0.56	
170207-114728.09		0.00	1.17	0.00	1.11	0.51	
170207-114728.29		0.00	1.17	0.00	0.99	0.51	
170207-114728.49		0.00	1.17	0.00	0.99	0.51	
170207-114728.69		0.00	1.17	0.00	0.99	0.51	
170207-114728.89		0.00	1.17	0.00	0.99	0.46	
170207-114729.09		0.00	1.17	0.00	0.99	0.46	
170207-114729.29		0.00	1.03	0.00	0.93	0.46	
170207-114729.49		0.00	1.03	0.00	0.93	0.46	
170207-114729.69		0.00	1.03	0.00	0.93	0.44	
170207-114729.89		0.00	1.03	0.00	0.93	0.44	
170207-114730.09		0.00	1.03	0.00	0.93	0.44	
170207-114730.29		0.00	0.99	0.00	0.93	0.44	
170207-114730.49		0.00	0.99	0.00	0.93	0.44	
170207-114730.69		0.00	0.99	0.00	0.93	0.43	
170207-114730.89		0.00	0.99	0.00	0.93	0.43	
170207-114731.09		0.00	0.99	0.00	0.93	0.43	
170207-114731.29		0.00	1.03	0.00	0.89	0.43	
170207-114731.49		0.00	1.03	0.00	0.89	0.43	
170207-114731.69		0.00	1.03	0.00	0.89	0.43	
170207-114731.89		0.00	1.03	0.00	0.89	0.43	
170207-114732.09		0.00	1.03	0.00	0.89	0.43	
170207-114732.29		0.00	0.99	0.00	0.86	0.43	
170207-114732.49		0.00	0.99	0.00	0.86	0.44	
170207-114732.69		0.00	0.99	0.00	0.86	0.44	
170207-114732.89		0.00	0.99	0.00	0.86	0.44	
170207-114733.09		0.00	0.99	0.00	0.86	0.45	
170207-114733.29		0.00	0.99	0.00	0.84	0.45	
170207-114733.49		0.00	0.99	0.00	0.84	0.45	
170207-114733.69		0.00	0.99	0.00	0.84	0.45	
170207-114733.89		0.00	0.99	0.00	0.84	0.45	
170207-114734.09		0.00	0.99	0.00	0.84	0.45	
170207-114734.29		0.00	0.99	0.00	0.80	0.43	
170207-114734.49		0.00	0.99	0.00	0.80	0.43	
