statusId | label
1|test
statusId|sensorName|value|timestamp
1|Linear Acceleration Sensor|[-0.19457605,0.05139494,0.3250866]|1477918466735
1|K6DS3TR Acceleration Sensor|[-0.43096948,4.4222255,9.100638]|1477918466736
1|YAS537 Magnetic Sensor|[8.7,-33.3,-27.800001]|1477918466736
1|K6DS3TR Acceleration Sensor|[-0.4644893,4.3958883,9.107821]|1477918466741
1|Gravity Sensor|[-0.25119954,4.373556,8.773783]|1477918466745
1|Linear Acceleration Sensor|[-0.24441534,-0.006398678,0.32685566]|1477918466745
1|K6DS3TR Acceleration Sensor|[-0.4956149,4.3671575,9.100638]|1477918466745
1|YAS537 Magnetic Sensor|[8.400001,-33.3,-27.7]|1477918466746
1|K6DS3TR Acceleration Sensor|[-0.48124924,4.3623686,9.086273]|1477918466750
1|Gravity Sensor|[-0.2690168,4.370776,8.77464]|1477918466756
1|Linear Acceleration Sensor|[-0.19547251,0.032295227,0.2038908]|1477918466756
1|K6DS3TR Acceleration Sensor|[-0.4644893,4.4030714,8.978531]|1477918466756
1|YAS537 Magnetic Sensor|[8.900001,-33.2,-27.5]|1477918466756
1|K6DS3TR Acceleration Sensor|[-0.46209505,4.453351,8.923462]|1477918466761
1|Gravity Sensor|[-0.28715304,4.36699,8.775951]|1477918466765
1|Linear Acceleration Sensor|[-0.15818208,0.09114981,0.11159706]|1477918466765
1|K6DS3TR Acceleration Sensor|[-0.44533512,4.45814,8.887548]|1477918466765
1|YAS537 Magnetic Sensor|[8.5,-33.3,-27.9]|1477918466766
1|K6DS3TR Acceleration Sensor|[-0.4166038,4.4485626,8.858817]|1477918466771
1|Linear Acceleration Sensor|[-0.11239737,0.083176136,0.08264446]|1477918466776
1|Gravity Sensor|[-0.30420643,4.3653865,8.776173]|1477918466775
1|K6DS3TR Acceleration Sensor|[-0.34477556,4.37434,8.873182]|1477918466776
1|K6DS3TR Gyroscope Sensor|[-0.064751714,0.07574729,-0.021991149]|1477918466776
1|YAS537 Magnetic Sensor|[8.5,-33.5,-27.300001]|1477918466776
1|K6DS3TR Acceleration Sensor|[-0.35674694,4.350397,8.875577]|1477918466781
1|K6DS3TR Gyroscope Sensor|[-0.061086524,0.09162979,-0.02565634]|1477918466781
1|Linear Acceleration Sensor|[-0.022276998,0.01567316,0.09432411]|1477918466785
1|Gravity Sensor|[-0.32249856,4.358667,8.778858]|1477918466785
1|K6DS3TR Acceleration Sensor|[-0.32562137,4.314483,8.81572]|1477918466786
1|K6DS3TR Gyroscope Sensor|[-0.058643065,0.12461651,-0.028099801]|1477918466786
1|YAS537 Magnetic Sensor|[8.6,-33.600002,-27.300001]|1477918466786
1|K6DS3TR Acceleration Sensor|[-0.3232271,4.314483,8.834874]|1477918466791
1|K6DS3TR Gyroscope Sensor|[-0.04886922,0.1600467,-0.034208454]|1477918466791
1|Linear Acceleration Sensor|[-0.017516106,-0.0018796921,0.094177246]|1477918466795
1|Gravity Sensor|[-0.33923084,4.352277,8.7814]|1477918466795
1|K6DS3TR Gyroscope Sensor|[-0.047647487,0.18570304,-0.030543262]|1477918466796
1|K6DS3TR Acceleration Sensor|[-0.28013015,4.3073006,8.858817]|1477918466796
1|YAS537 Magnetic Sensor|[8.5,-33.8,-27.2]|1477918466796
1|K6DS3TR Gyroscope Sensor|[-0.05375614,0.20769419,-0.034208454]|1477918466801
1|K6DS3TR Acceleration Sensor|[-0.28013015,4.328849,8.827691]|1477918466801
1|YAS537 Magnetic Sensor|[8.6,-33.9,-26.9]|1477918466806
1|Gravity Sensor|[-0.3544019,4.3459764,8.783921]|1477918466805
1|Linear Acceleration Sensor|[0.07427174,-0.017127514,0.043769836]|1477918466805
1|K6DS3TR Acceleration Sensor|[-0.32801566,4.333637,8.707977]|1477918466806
1|K6DS3TR Gyroscope Sensor|[-0.06719518,0.24678956,-0.02687807]|1477918466806
1|K6DS3TR Acceleration Sensor|[-0.29689008,4.338426,8.650515]|1477918466811
1|K6DS3TR Gyroscope Sensor|[-0.06841691,0.29077184,-0.021991149]|1477918466811
1|Gravity Sensor|[-0.37007383,4.340501,8.785981]|1477918466815
1|Linear Acceleration Sensor|[0.14740627,-0.009257793,-0.073215485]|1477918466815
1|K6DS3TR Gyroscope Sensor|[-0.081855945,0.32986724,-0.028099801]|1477918466816
1|YAS537 Magnetic Sensor|[8.5,-34.100002,-26.800001]|1477918466816
